Timestamp,Cycle,Countdown Type,LSL Data
1970-01-03 02:35:22.966992,2,First Countdown,"[26.0, -20.0, -19.0, -2.0, 28.0, -21.0, -11.833333015441895, -20.0]"
1970-01-03 02:35:23.974185,2,First Countdown,"[-51.0, 8.0, -6.0, 0.0, 7.0, -17.0, -42.83333206176758, -64.0]"
1970-01-03 02:35:24.974511,2,First Countdown,"[-17.0, 42.0, 8.0, -9.0, -19.0, -7.0, 26.16666603088379, -2.8333332538604736]"
1970-01-03 02:35:25.971430,2,First Countdown,"[-8.0, 10.0, 3.0, -46.0, -46.0, -21.0, -0.8333333134651184, -3.6666667461395264]"
1970-01-03 02:35:26.980187,2,First Countdown,"[48.0, 40.0, 5.0, 53.0, 95.0, 53.0, 48.0, 52.83333206176758]"
1970-01-03 02:35:27.978474,2,First Countdown,"[16.0, 6.0, 16.0, -29.0, -34.0, 21.0, 7.833333492279053, 25.33333396911621]"
1970-01-03 02:35:28.981812,2,First Countdown,"[66.0, -37.0, 43.0, 3.0, 8.0, 29.0, 14.333333015441895, 17.66666603088379]"
1970-01-03 02:35:29.981387,2,First Countdown,"[-62.0, -45.0, -31.0, -73.0, -65.0, -70.0, -41.66666793823242, -51.16666793823242]"
1970-01-03 02:35:30.978169,2,First Countdown,"[9.0, 30.0, -10.0, 37.0, 13.0, 8.0, -1.1666666269302368, 4.5]"
1970-01-03 02:35:31.980376,2,First Countdown,"[21.0, 43.0, 26.0, 64.0, 30.0, 26.0, 26.5, 32.0]"
1970-01-03 02:35:32.981896,2,First Countdown,"[-58.0, -42.0, 1.0, -37.0, -53.0, -20.0, -17.16666603088379, -23.33333396911621]"
1970-01-03 02:35:33.975069,2,First Countdown,"[-45.0, -40.0, -1.0, -20.0, -52.0, -25.0, -10.0, -13.833333015441895]"
1970-01-03 02:35:34.975180,2,First Countdown,"[30.0, 51.0, 18.0, 0.0, 34.0, 10.0, 7.666666507720947, 13.333333015441895]"
1970-01-03 02:35:35.992042,2,First Countdown,"[41.0, 16.0, 18.0, 49.0, 60.0, 74.0, 44.16666793823242, 47.33333206176758]"
1970-01-03 02:35:36.992662,2,First Countdown,"[3.0, -74.0, 10.0, -66.0, -76.0, -24.0, -21.83333396911621, -17.16666603088379]"
1970-01-03 02:35:37.987100,2,First Countdown,"[-43.0, -40.0, -26.0, -38.0, -45.0, -15.0, -26.66666603088379, -30.66666603088379]"
1970-01-03 02:35:38.986072,2,First Countdown,"[17.0, -64.0, 8.0, -20.0, 55.0, 67.0, 50.66666793823242, 28.83333396911621]"
1970-01-03 02:36:56.932856,2,Second Countdown,"[-59.0, -23.0, -46.0, -21.0, -31.0, -30.0, -36.33333206176758, -28.5]"
1970-01-03 02:36:58.559684,2,Second Countdown,"[5.0, -22.0, -25.0, -5.0, -11.0, -14.0, 45.33333206176758, 16.83333396911621]"
1970-01-03 02:37:00.161233,2,Second Countdown,"[-86.0, -63.0, -76.0, -109.0, -79.0, -73.0, -46.5, -17.0]"
1970-01-03 02:36:39.243009,2,Second Countdown,"[44.0, -7.0, 7.0, -3.0, 27.0, 7.0, 0.3333333432674408, 10.333333015441895]"
1970-01-03 02:36:40.239941,2,Second Countdown,"[-43.0, 2.0, -1.0, 16.0, -10.0, 55.0, 24.0, 41.33333206176758]"
1970-01-03 02:37:09.072220,2,Third Countdown,"[97.0, 78.0, 21.0, -15.0, 1.0, 68.0, 91.66666412353516, 67.5]"
1970-01-03 02:37:10.699843,2,Third Countdown,"[-59.0, -15.0, 17.0, 42.0, 27.0, 14.0, -15.333333015441895, -58.16666793823242]"
1970-01-03 02:37:12.319315,2,Third Countdown,"[17.0, 59.0, 82.0, 100.0, 55.0, 34.0, -19.83333396911621, -6.5]"
1970-01-03 02:37:13.937990,2,Third Countdown,"[-16.0, -24.0, -17.0, -52.0, -60.0, 6.0, -14.5, -16.33333396911621]"
1970-01-03 02:37:15.564867,2,Third Countdown,"[85.0, 7.0, 28.0, -10.0, 49.0, 32.0, 5.0, 53.0]"
1970-01-03 02:37:17.528173,2,Fourth Countdown,"[17.0, 8.0, 40.0, -14.0, 32.0, 20.0, 3.3333332538604736, 8.0]"
1970-01-03 02:37:18.740023,2,Fourth Countdown,"[35.0, 20.0, 82.0, 100.0, 55.0, 34.0, 30.66666603088379, 5.333333492279053]"
1970-01-03 02:37:19.979422,2,Fourth Countdown,"[5.0, -20.0, -28.0, -75.0, -42.0, -25.0, -27.0, -31.66666603088379]"
1970-01-03 02:36:52.326844,2,Fourth Countdown,"[-10.0, 7.0, 1.0, 53.0, -57.0, -21.0, 13.0, -20.66666603088379]"
1970-01-03 02:37:22.467134,2,Fourth Countdown,"[40.0, 44.0, 26.0, 47.0, 63.0, 40.0, 28.66666603088379, 32.16666793823242]"
1970-01-03 02:37:35.886818,2,Fifth Countdown,"[90.0, -6.0, 46.0, 59.0, 74.0, 44.0, 28.16666603088379, 39.16666793823242]"
